published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
9/22/2022,722,728,712,712,-0.84,1102,791309,-1
9/25/2022,700,712,699,700,-1.69,1825,1283859,0
9/27/2022,700,740,695,740,5.71,2350,1700042,1
9/28/2022,730,760,730,760,2.7,1790,1333678.5,1
9/29/2022,774,774,758.6,759,-0.13,460,352040,-1
10/9/2022,765,774,760,760,0.13,618,471735,-1
10/10/2022,760,773.9,760,770,1.32,510,388108.5,1
10/11/2022,781.9,781.9,740,765,-0.65,480,364731,-1
10/12/2022,749.7,770,734.8,770,0.65,190,142422,1
10/13/2022,754.6,763.9,750,750.1,-2.58,1310,996757,-1
10/16/2022,750,750,730,747,-0.41,1460,1073491,-1
10/17/2022,732.1,761.8,732.1,761.4,1.93,434,323283,1
10/19/2022,746.2,770,730,759,-0.32,1082,795560.3,1
10/20/2022,768.9,768.9,730,738,-2.77,780,577081.5,-1
10/23/2022,752,811.7,748.1,748.1,1.37,880,668721,-1
10/31/2022,763,778,735,749,0.12,740,554017,-1
11/1/2022,763,779,748,761,1.6,4799,3670544.7,-1
11/2/2022,760,787.4,755,787.4,3.47,8369,6459562,1
11/3/2022,772,774.9,755,770,-2.21,2089,1597938,-1
11/6/2022,755,790.5,743,790,2.6,1993,1549697,1
11/7/2022,803,805,775,775,-1.9,2743,2155381,-1
11/8/2022,775,794,745,750,-3.23,3350,2527332,-1
11/9/2022,755,769,740,760,1.33,3590,2745651,1
11/10/2022,760,760,734,746,-1.84,2779,2057308,-1
11/13/2022,735,758.8,730,742,-0.54,2167,1594290,1
11/14/2022,742,769.9,735,769.9,3.76,670,505941,1
11/15/2022,785,785,746,755,-1.94,2532,1914371,-1
11/16/2022,739.9,770,715,744.6,-1.38,11953,8705813.2,1
11/17/2022,740,754,735,750,0.73,2155,1602417.5,1
11/22/2022,765,780,730,735,-2,1500,1105147,-1
11/23/2022,721,740,721,725,-1.36,659,484652.4,1
11/24/2022,725,731,717.3,725,0,260,188522.5,0
11/27/2022,725,753.7,725,732.1,0.98,1165,856656.5,1
11/28/2022,725,742.8,725,742.7,1.45,1265,928665,1
11/29/2022,730.1,742,730.1,735,-1.04,2235,1641115,1
11/30/2022,730,749,730,733,-0.27,180,132849,1
12/1/2022,726,745,726,731,-0.27,1632,1196878,1
12/4/2022,731.2,748,731.2,743.9,1.76,2190,1625840,1
12/5/2022,744,758,735,735.6,-1.12,1685,1245683,-1
12/6/2022,721.2,741.7,721.2,741.7,0.83,430,315721,1
12/7/2022,727,739,717,739,-0.36,4055,2962509.5,1
12/11/2022,724.3,730,712,720,-2.57,1300,937094.5,-1
12/12/2022,708.6,734.3,708.6,733,1.81,2170,1547928,1
12/13/2022,747.6,747.6,723.3,725,-1.09,470,341225,-1
12/14/2022,724,738,709.6,709.6,-2.12,545,390600.2,-1
12/15/2022,700,779.1,698.4,763.6,7.61,759,541350,1
12/18/2022,748.4,748.4,707,731,-4.27,310,222763.8,-1
12/19/2022,745.6,745.6,705,716,-2.05,1420,1013847,-1
12/20/2022,730.3,730.3,710,718,0.28,1797,1290785,-1
12/21/2022,710.1,718,710.1,710.5,-1.04,300,214830,1
12/22/2022,711.1,711.6,700.1,703.5,-0.99,783,554204.2,-1
12/26/2022,692,738.5,692,726,3.2,1177,858106.7,1
12/27/2022,737,763.9,730,762,4.96,16106,11951954.3,1
12/28/2022,746.8,755,735,738.1,-3.14,3045,2267075,-1
12/29/2022,724.1,767,724.1,766,3.78,8365,6318245.1,1
1/1/2023,760,771,742,742,-3.13,4442,3356486.5,-1
1/2/2023,749.5,770,743,760,2.43,2370,1806088.5,1
1/3/2023,770,785,750,750.2,-1.29,13049,9952331,-1
1/4/2023,750,795,750,783,4.37,6950,5390524.5,1
1/5/2023,798,807,769,798,1.92,9976,7836403,0
1/8/2023,790,861,786,835,4.64,15484,12763583.5,1
1/9/2023,825,870,825,865,3.59,10715,9201822.3,1
1/10/2023,879,885,825.5,867.9,0.34,16865,14565435.8,-1
1/12/2023,852,865,813.4,813.4,-6.28,10604,8958923.5,-1
1/17/2023,798,850,798,838,3.02,4671,3862267,1
1/18/2023,854,879.9,830,830,-0.95,9806,8392957,-1
1/19/2023,846.6,860,828.2,830,0,3827,3204355,-1
1/23/2023,830,841,798,815,-1.81,7925,6460905,-1
1/24/2023,800.1,846.9,800,813,-0.25,8248,6659928,1
1/25/2023,813,845.7,813,816,0.37,2195,1804245,1
1/26/2023,805,848.9,805,820,0.49,4597,3828273,1
1/29/2023,803.6,825,787.6,812,-0.98,1393,1135570.9,1
1/30/2023,805,824.1,791,793,-2.34,3355,2676381,-1
1/31/2023,777.2,816,770,815,2.77,1950,1568038.2,1
2/1/2023,815,815,800,801,-1.72,872,701400,-1
2/2/2023,800,810,790,796.2,-0.6,1075,862728,-1
2/5/2023,783,830,783,800,0.48,2863,2310931,1
2/6/2023,790,800,785,787,-1.63,1373,1082993,-1
2/7/2023,790,820,790,820,4.19,1530,1234131,1
2/8/2023,835,853.1,810,824.9,0.6,9933,8114259,-1
2/9/2023,808.5,826.2,800,820,-0.59,3447,2825405,1
2/12/2023,804,824.9,789,795,-3.05,4145,3313531.4,-1
2/14/2023,800,809,788,804,1.13,1120,893274,1
2/15/2023,790,800,789,798,-0.75,989,784496,1
2/16/2023,800,800,787.9,798.9,0.11,1151,911565,-1
2/20/2023,800,800,780,780,-2.37,528,415187,-1
2/22/2023,765,799,765,797,2.18,1704,1336666,1
2/23/2023,785,790,766.6,780,-2.13,1790,1402876,-1
2/26/2023,766,795,750.1,767.2,-1.64,510,396954,1
2/27/2023,775,799.9,768,770,0.36,2670,2065437.6,-1
2/28/2023,770.1,797.9,770.1,780,1.3,600,468106,1
3/1/2023,766.1,770.3,766.1,770.2,-1.26,760,583932,1
3/2/2023,770,775,766,766,-0.55,677,520621,-1
3/5/2023,760,775,759,765.1,-0.12,1095,840491,1
3/7/2023,766,780.4,751,769,0.51,630,478693.5,1
3/9/2023,755,784.9,755,784.9,2.07,645,498964,1
3/12/2023,800,801,770.1,770.2,-1.87,1245,978860,-1
3/13/2023,756,780,756,769.1,-0.14,1513,1161812,1
3/14/2023,764,780,756,774,0.64,2195,1684949,1
3/15/2023,758.6,770,754,755,-2.45,2180,1651743,-1
3/16/2023,751,773.1,744.2,758,0.4,220,165838,1
3/19/2023,765,765,754,758,0,1560,1190012,-1
3/20/2023,750,790,750,765,0.92,2987,2330605,1
3/22/2023,763,811.9,763,780,1.96,1665,1301247,1
3/23/2023,765,780,765,766.1,-1.78,1190,915449,1
3/26/2023,751,765,751,765,-0.14,770,582549,1
3/27/2023,752.3,780.3,743,780.3,2,3490,2619882,1
3/28/2023,794,794,762.7,785,0.6,560,433680,-1
3/29/2023,769.3,791,760,790,0.64,1091,854275.8,1
3/30/2023,775,805,764.4,779,-1.39,490,381343,1
4/2/2023,770,780,757,769.9,-1.17,2790,2123319,-1
4/3/2023,754.6,767,740,745,-3.23,3349,2523556,-1
4/4/2023,737.1,760,737.1,747,0.27,800,600498,1
4/5/2023,741,762,740.1,762,2.01,445,333588,1
4/6/2023,762,762,747,749,-1.71,760,570799.4,-1
4/9/2023,735,750.8,725,725,-3.2,2101,1539233,-1
4/10/2023,725,745,719,719,-0.83,2298,1676840,-1
4/11/2023,719,750.6,719,750.6,4.39,910,669726,1
4/12/2023,751,780,751,775,3.25,2120,1624828,1
4/13/2023,770,784.9,755,755,-2.58,480,366625,-1
4/16/2023,750,768,741.2,766,1.46,1440,1086466,1
4/17/2023,751,770,751,751.1,-1.95,380,286333,1
4/18/2023,737.1,752,737.1,741.1,-1.33,650,483871.5,1
4/19/2023,742,764.9,740,746.2,0.69,198,148139.2,1
4/20/2023,733,750,733,741,-0.7,160,118880,1
4/23/2023,732,762,732,762,2.83,275,206889,1
4/24/2023,748,774.9,748,774.9,1.69,1930,1482035,1
4/25/2023,759.5,774.6,759.5,769,-0.76,550,421394,1
4/26/2023,754.1,754.1,749,750.2,-2.44,190,142581,-1
4/27/2023,738.1,755,738,750,-0.03,280,209221,1
4/30/2023,740.5,759,740,752,0.27,1440,1083069,1
5/2/2023,743,753.7,735,753.7,0.23,2900,2161210,1
5/3/2023,750,751,731,731,-3.01,2416,1784494,-1
5/4/2023,745,759,730,744.6,1.86,1570,1152619,-1
5/7/2023,730.1,744,730,744,-0.08,1520,1121419,1
5/8/2023,730,755,726,746,0.27,800,588954,1
5/9/2023,735,773,707.4,747,0.13,350,259667,1
5/10/2023,734,745,734,742,-0.67,1200,887390,1
5/11/2023,735,737,728,737,-0.67,1320,964002,1
5/14/2023,735,735,723,727,-1.36,810,588331,-1
5/15/2023,723,738,723,738,1.51,1500,1099820,1
5/16/2023,730,744.6,724.1,724.8,-1.79,1450,1057559,-1
5/17/2023,720,745,718.1,730,0.72,1810,1326387,1
5/18/2023,735,751,725.2,747,2.33,3335,2467804,1
5/21/2023,747,755,746,750.1,0.41,2545,1907299,1
5/22/2023,740,754,725.2,751,0.12,493,368873,1
5/23/2023,740,770,740,765,1.86,3495,2654004,1
5/24/2023,775,775,752,766,0.13,766,588736,-1
5/28/2023,766,775,755,755,-1.44,2860,2193100,-1
5/30/2023,740,745,730,732,-3.05,2194,1605308,-1
5/31/2023,745,745,730,730,-0.27,1183,864132,-1
6/1/2023,730,749.7,713,749.7,2.7,2728,1971309,1
6/4/2023,750,762.9,730,750,0.04,1920,1433434,0
6/5/2023,748,760,730.1,758.3,1.11,2164,1606709.2,1
6/6/2023,744,770,730,753,-0.7,1620,1209287,1
6/7/2023,753,775,750,769,2.12,1450,1108169,1
6/8/2023,754,769,740.1,750,-2.47,1900,1427673,-1
6/11/2023,745,764,744.9,755,0.67,9165,6880230.5,1
6/12/2023,760,798.6,750,787,4.24,3054,2348617.8,1
6/13/2023,787,838.3,750.2,777,-1.27,6940,5518209.3,-1
6/14/2023,792,824,777,777,0,4015,3203174.4,-1
6/15/2023,767.2,789.9,764,769,-1.03,1867,1445091,1
6/18/2023,754,799.6,754,790,2.73,1322,1045030,1
6/19/2023,780,869,780,869,10,11051,9046016.6,1
6/20/2023,855,900,791,859,-1.15,14812,12608190.9,1
6/21/2023,841.9,876.1,805,876.1,1.99,5066,4222612.7,1
6/22/2023,858.6,880,817.4,833,-4.92,3310,2762243.8,-1
6/25/2023,820,849,807.2,820,-1.56,7192,5914274.6,0
6/26/2023,820,902,820,900,9.76,13326,11500842.1,1
6/27/2023,900,990,864,990,10,36638,33355478.4,1
6/28/2023,990,1029.9,955.6,1029.9,4.03,13650,13380970,1
7/2/2023,1009.4,1009.4,936,936,-9.12,7364,7122203,-1
7/3/2023,935,950,897.7,914,-2.35,8503,7785853.6,-1
7/4/2023,914,950,871.3,888,-2.84,4293,3847194.5,-1
7/5/2023,890,890,860,879,-1.01,2747,2392079,-1
7/6/2023,879,879,851.2,860,-2.16,2140,1837871,-1
7/9/2023,845,928.2,845,925,7.56,8100,7263023.5,1
7/10/2023,943.5,948,890,948,2.49,4846,4456006.6,1
7/11/2023,929.1,933,894.1,933,-1.58,2230,2058706.5,1
7/12/2023,914.5,1000,897.2,1000,7.18,12803,12268733.6,1
7/13/2023,980,1040,935.2,1019,1.9,14000,13937917.5,1
7/16/2023,1015,1030,950.4,995,-2.36,96749,98491980,-1
7/17/2023,975.1,1029,957.1,1012,1.71,4546,4548937.5,1
7/18/2023,1010,1030,973.1,1024,1.19,4700,4741674.2,1
7/19/2023,1003.6,1015,971.2,1013.9,-0.99,1985,1984461.5,1
7/20/2023,993.7,1092,975,1011,-0.29,23899,24872205.1,1
7/23/2023,991.2,1026,990.8,1026,1.48,3659,3711731.9,1
7/24/2023,1044,1046.5,986.3,1030,0.39,910,919623,-1
7/25/2023,1029.9,1030,969.7,980,-4.85,14343,14057823.5,-1
7/26/2023,970.1,980,966.1,970,-1.02,4438,4307021.5,-1
7/27/2023,951.2,969,942,942,-2.89,1320,1257494,-1
7/30/2023,945,975,926.1,949.9,0.84,2280,2143227.5,1
7/31/2023,941,953,938,950,0.01,430,406332,1
8/1/2023,931.3,940,916,916,-3.58,3458,3199409,-1
8/2/2023,909,920,890.9,920,0.44,2881,2600914.1,1
8/3/2023,915,951.8,906,924,0.43,685,628953,1
8/6/2023,906,912.9,888,912.9,-1.2,1919,1727396.5,1
8/7/2023,909,924,905.6,914,0.12,694,630607.3,1
8/8/2023,915,915,885.2,893.9,-2.2,3085,2751530,-1
8/9/2023,877,946.5,872.5,928,3.81,2670,2423492.5,1
8/10/2023,909.5,945,905,945,1.83,2160,2009086,1
8/13/2023,926.1,1039.5,908,1037,9.74,113693,117320838.8,1
8/14/2023,1016.3,1020,900,1020,-1.64,39064,35700146.5,1
8/15/2023,1000,1000,980,980,-3.92,1120,1105949,-1
8/16/2023,970,974,951,953.6,-2.69,1445,1381761,-1
8/17/2023,954,970.3,942,943,-1.11,1415,1349474.5,-1
8/20/2023,942,943,921.2,921.2,-2.31,1002,931736,-1
8/21/2023,911,938,905,905,-1.76,730,669557,-1
8/22/2023,900,928,900,916,1.22,948,868478,1
8/23/2023,920,935,920,934,1.97,540,501545.5,1
8/24/2023,952.4,952.4,900,905,-3.1,1580,1434156,-1
8/27/2023,889,910,889,890.7,-1.58,780,700493,1
8/28/2023,880,895,875,876.4,-1.61,1490,1310436,-1
8/29/2023,860,885,860,870,-0.73,690,601244,1
8/30/2023,870,912,862.5,870,0,2590,2266993,0
9/3/2023,860,865,853,854,-1.84,540,463059,-1
9/4/2023,855,867,840.1,867,1.52,980,829340,1
9/5/2023,854,854,837,840,-3.11,1340,1129824,-1
9/7/2023,831.1,854,831,844,0.48,715,597782,1
9/10/2023,835,856,835,835,-1.07,605,510420.5,0
9/11/2023,835,912.9,835,905,8.38,5371,4753918,1
9/12/2023,887,887,870,880,-2.76,362,316889,-1
9/13/2023,880,930.4,863.1,915,3.98,3240,2954096,1
9/17/2023,896.7,896.7,862.7,870.2,-4.9,865,753058,-1
9/18/2023,870,885,853,885,1.7,645,558107.5,1
9/19/2023,900,900,867,871,-1.58,280,243885,-1
9/21/2023,885,900,883,890,2.18,1857,1652627,1
9/24/2023,890,890,855,862,-3.15,635,550947.5,-1
9/25/2023,847,879,847,856,-0.7,1096,950265,1
9/26/2023,857,873,851,873,1.99,3749,3231072.4,1
9/27/2023,860,865,846.1,860,-1.49,830,708825.4,0
10/1/2023,845,877,844,844,-1.86,987,844341,-1
10/2/2023,860.8,895,833,854,1.18,590,498795,-1
10/3/2023,837.1,860,837.1,837.6,-1.92,700,589793,1
10/4/2023,840,855,835.1,845,0.88,790,666884,1
10/5/2023,835,879,835,836.3,-1.03,730,619266.5,1
10/8/2023,831,835,810,810,-3.14,1791,1478768,-1
10/9/2023,810,834.2,800,806,-0.49,1030,835739,-1
10/10/2023,791,805,791,791.1,-1.85,1090,868868,1
10/11/2023,790,805,785.1,802.5,1.44,975,772739,1
10/12/2023,787,790,771.3,775,-3.43,1309,1026583.3,-1
10/16/2023,762,770,750,752.6,-2.89,1270,966346,-1
10/17/2023,740.5,765,730,765,1.65,825,612905,1
10/18/2023,780.3,808,766,775,1.31,180,140359,-1
10/19/2023,765,789,757,779.9,0.63,485,373167.2,1
10/29/2023,795.4,795.4,721,756.5,-3,460,346928,-1
10/30/2023,746,772.2,745.1,772,2.05,347,265024,1
10/31/2023,757.1,785,742.1,768.5,-0.45,515,390062.5,1
11/1/2023,753.2,810,745,769,0.07,1270,969115,1
11/2/2023,780,780,754.1,761,-1.04,1110,846625,-1
11/5/2023,760,775,750,759,-0.26,440,332220,-1
11/6/2023,743.9,770,743.9,757,-0.26,1570,1183233.5,1
11/7/2023,745,815.8,743,780.3,3.08,965,736272,1
11/6/2023,743.9,770,743.9,757,-0.26,1570,1183233.5,1
11/7/2023,745,815.8,743,780.3,3.08,965,736272,1
11/8/2023,792.8,800,780,790,1.24,1050,825231,-1
11/9/2023,774.2,774.2,731,738,-6.58,6946,5138876.6,-1
11/20/2023,738,749.9,688,700,-5.15,6066,4321574.8,-1
11/21/2023,714,714,658.8,680,-2.86,7095,4751256.8,-1
11/22/2023,667.1,707.4,653.1,680,0,1567,1059973.6,1
11/23/2023,680,693.6,663,681,0.15,3163,2135157.7,1
11/26/2023,668.1,687,668.1,685.5,0.66,7505,5118096.4,1
11/27/2023,685.5,688,678,682,-0.51,2602,1780842.5,-1
11/28/2023,680,685,671,671,-1.61,1712,1158300,-1
11/29/2023,671,671,635,655,-2.38,4738,3080332.3,-1
11/30/2023,650,650,589.5,589.5,-10,15734,9735149.9,-1
12/3/2023,577.8,577.8,530.6,530.6,-9.99,4324,2310649.4,-1
12/4/2023,520,520,477.6,477.6,-9.99,13934,6656408.4,-1
12/5/2023,468.1,468.1,429.9,434.9,-8.94,831350,362957624.1,-1
12/6/2023,443.5,462,434.7,462,6.23,138829,61997604.7,1
12/7/2023,464,490.6,464,483,4.55,182628,87628642.1,1
12/10/2023,492.6,495,480,492,1.86,73264,35825833.1,-1
12/11/2023,501,501,480.2,500,1.63,294188,144069921,-1
12/12/2023,510,537.9,490,535,7,229040,119763477.6,1
12/13/2023,540,550,530,547,2.24,137590,74531486.9,1
12/14/2023,553,553,526,546,-0.18,72553,39349076.5,-1
12/17/2023,540,549,527,541,-0.92,155032,83891637.3,1
12/18/2023,551.8,559,525,528,-2.4,172185,93039728.7,-1
12/19/2023,525,546,522,537,1.7,91039,48217654.1,1
12/20/2023,547.7,590.7,536,578.1,7.65,237552,132402675.1,1
12/21/2023,589.6,626,565,614,6.21,212787,127988211,1
12/24/2023,610,636,595.3,595.3,-3.05,140748,87536757.6,-1
12/27/2023,607.2,615,577.3,592,-0.55,191526,114608412.1,-1
12/28/2023,603.8,610,584.1,603.1,1.88,175062,104818526.4,-1
1/1/2024,615.1,627,600.1,605,0.32,121625,74846110.4,-1
1/2/2024,610,610,581.2,590,-2.48,82949,49155414.1,-1
1/3/2024,579,644,579,642,8.81,212853,131396818.8,1
1/4/2024,654.8,703.8,648,680,5.92,276292,186485473.7,1
1/7/2024,693.6,728,680,686.3,0.93,226472,159002505.5,-1
1/8/2024,693,693,659.4,666,-2.96,288242,193698435.7,-1
1/9/2024,678,691.4,637,637,-4.35,187419,124394099.2,-1
1/10/2024,640,667.9,640,650,2.04,176347,114809323.2,1
1/11/2024,660,663,645,645,-0.77,82861,54039497.6,-1
1/14/2024,656,671,642.5,655,1.55,143032,94334282.1,-1
1/16/2024,666.9,669.9,650,658,0.46,175341,115973565.1,-1
1/17/2024,645,671,645,650,-1.22,105087,69189297.2,1
1/18/2024,642.1,650,630,640,-1.54,190334,122222290.5,-1
1/21/2024,647.2,652.8,633,633.5,-1.02,147710,94992175.8,-1
1/22/2024,644,646.9,625,633,-0.08,121776,76945057.1,-1
1/23/2024,644.5,644.5,617,619,-2.21,120716,75352204.3,-1
1/24/2024,624,633,619,621,0.32,121165,75329206.7,-1
1/25/2024,625,632,618.1,619.6,-0.23,114574,71247895.4,-1
1/28/2024,628,640,624,635,2.49,62003,39170572,1
1/29/2024,640,646,630,637.9,0.46,45385,28870819.3,-1
1/30/2024,639,640.5,631,634.5,-0.53,65769,41848880.5,-1
1/31/2024,631,636,621.3,623,-1.81,37823,23795534.1,-1
2/1/2024,616,625,616,619,-0.64,106487,66135487.2,1
2/4/2024,615,625,612,616,-0.48,32665,20207284.4,1
2/5/2024,616.1,628.3,616.1,621,0.81,51487,31918432.9,1
2/6/2024,626,650,622,643,3.54,262430,166554725.7,1
2/7/2024,655.8,656,640,644,0.16,68550,44215529.9,-1
2/8/2024,638,649,632,634,-1.55,67168,42843423.2,-1
2/11/2024,646.4,646.4,623,628.1,-0.93,57414,36224623.6,-1
2/12/2024,615.6,640.4,615.6,636,1.26,28167,17830632.9,1
2/13/2024,634,637,620,629,-1.1,69831,43734417.4,-1
2/14/2024,627,632,622.1,623,-0.95,22180,13861356.8,-1
2/15/2024,621,630,618.1,620,-0.48,38639,24062707.7,-1
2/18/2024,620,624,615.2,617,-0.48,42150,26053990.4,-1
2/20/2024,617,628,615.2,620,0.49,36061,22416213.2,1
2/21/2024,627.3,630,614,616.1,-0.63,35355,21905961.5,-1
2/22/2024,612.5,621,601,601.3,-2.4,56131,34177671.1,-1
2/25/2024,600.3,609.9,593,593.3,-1.33,40831,24495932.9,-1
2/26/2024,592,607,592,595,0.29,19136,11468177.8,1
2/27/2024,606.9,606.9,595.1,599,0.67,21628,12948423.7,-1
2/28/2024,599,605,594,596,-0.5,13340,7952459.3,-1
2/29/2024,595,598,581.3,588,-1.34,32711,19234192.6,-1
3/3/2024,580.2,588,577,581.7,-1.07,29805,17339166,1
3/4/2024,593,635,593,635,9.16,5650,3546483,1
3/5/2024,640,640,610,613,-3.46,62997,39039277.6,-1
3/6/2024,608,632,601,619,0.98,61180,37808872.8,1
3/7/2024,630,631,619,623,0.65,21636,13472178.9,-1
3/10/2024,635.4,635.4,627,631.9,1.43,47197,29785222.8,-1
3/12/2024,637,650,637,641,1.44,173100,111156224.7,1
3/13/2024,568.5,590,562,567,1.72,62119,35453416.2,-1
3/14/2024,567,614.4,565,574,1.23,79361,45636707.2,1
3/17/2024,585,609,559.5,560,-2.44,40398,22810686.6,-1
3/18/2024,565,565,548.9,552,-1.43,41694,23016046,-1
3/19/2024,563,596.7,550,553.1,0.2,43686,24451430.1,-1
3/20/2024,564.1,565,553,560,1.25,33028,18477482,-1
3/21/2024,571.2,571.2,552,555,-0.89,17949,9946739.7,-1
3/25/2024,560,560,538,538,-3.06,34060,18508259.4,-1
3/26/2024,545,548,530,535.2,-0.52,37413,20051527.8,-1
3/27/2024,535,538,522,523,-2.28,29124,15385800.5,-1
3/28/2024,520.4,525,511.6,519.9,-0.59,46636,24033231.7,-1
3/31/2024,515,523,513,516,-0.75,29173,15063334.6,1
4/1/2024,515,520,512,513,-0.58,46873,24071520.6,-1
4/2/2024,520,520,499,500,-2.53,92290,46392861.3,-1
4/3/2024,501,519.2,498.8,505,1,39703,20061010.4,1
4/4/2024,505.1,514.5,502,504.9,-0.02,55773,28233502.8,-1
4/7/2024,504,512,498.1,510,1.01,83074,41719543.2,1
4/9/2024,518,521,510,518.7,1.71,47085,24373521.5,1
4/10/2024,526,526,512,515,-0.71,32613,16833210.8,-1
4/14/2024,525,525,509,512,-0.58,38160,19563358.5,-1
4/15/2024,521,521,506,511,-0.2,35095,17866853.1,-1
4/16/2024,514,514,506,508,-0.59,26525,13495850.4,-1
4/18/2024,517,518,501.4,502,-1.18,8945,4498645.5,-1
4/21/2024,511,511,500.8,509,1.39,16127,8122275.6,-1
4/22/2024,518,530.9,515,521.9,2.53,62052,32445025.3,1
4/24/2024,528,528,515.2,520,-0.36,23216,12033746.8,-1
4/25/2024,528.9,528.9,510,512,-1.54,12985,6655738.4,-1
4/28/2024,511.6,522,509.1,515,0.59,15725,8049906.3,1
4/29/2024,525,535,507.1,510,-0.97,46885,23940790,-1
4/30/2024,519.9,519.9,509,515,0.98,27816,14325996.9,-1
5/2/2024,514,520,509,515.5,0.1,60567,31005993.3,1
5/5/2024,510,514.9,505.3,511,-0.87,18543,9419384.3,1
5/6/2024,503.4,530,503.4,520.9,1.94,82823,43095399.6,1
5/7/2024,530,531,520,522.5,0.31,37690,19813183.8,-1
5/8/2024,522.5,530,522,524,0.29,13945,7321235.8,1
5/9/2024,522,526,515,520,-0.76,36188,18754248.3,-1
5/12/2024,528,528,518,524,0.77,20697,10794606.7,-1
5/13/2024,521.1,527,521.1,524,0,26559,13929802,1
5/14/2024,519.1,554,519.1,546.7,4.33,70993,38429131.7,1
5/15/2024,557,557,540,544.8,-0.35,40897,22444847.2,-1
5/16/2024,554.9,554.9,539,543.9,-0.17,30103,16352928.8,-1
5/19/2024,554.7,560,546.3,556.9,2.39,54221,30037102.5,1
5/20/2024,568,585,558.1,585,5.05,138553,79169044.3,1
5/21/2024,590,610.9,580,598.2,2.26,174300,104188538.5,1
5/22/2024,590,600,587,600,0.3,95110,56330615.5,1
5/26/2024,600,600,580.1,587,-2.17,92690,54658579.7,-1
5/27/2024,587,590,580,586,-0.17,45237,26361473.8,-1
5/29/2024,595,597,575,578,-1.37,39788,23172782.7,-1
5/30/2024,585.8,590,567,574,-0.69,70432,40908483.1,-1
6/2/2024,582,593,577,580,1.05,35736,20918801.6,-1
6/3/2024,580,587.9,575,580,0,21148,12236073.7,0
6/4/2024,575.2,595,575.2,587,1.21,94425,55575401.8,1
6/5/2024,589,592,578,580,-1.19,40001,23329349,-1
6/6/2024,575.2,588,572.1,575,-0.86,30624,17653609,-1
6/9/2024,575,585,568,575,0,106824,61329785.3,0
6/10/2024,570,605,568,596,3.65,413861,244788899,1
6/11/2024,600,640.9,600,629.9,5.69,371985,231770386.4,1
6/12/2024,637,640,613.8,619,-1.73,229154,143091973.9,-1
6/13/2024,619,627,611.7,616.3,-0.44,163621,101311755.7,-1
6/16/2024,618,628.5,610,610.5,-0.94,113782,70165997.1,-1
6/18/2024,605,618.9,605,613,0.41,120530,73718269.6,1
6/19/2024,613,616,605,605,-1.31,95501,58176237.5,-1
6/20/2024,605,619.9,599.1,609.9,0.81,281168,171484814.3,1
6/23/2024,609,619.9,598,600,-1.62,182838,111125132.4,-1
6/24/2024,610,610,580,585,-2.5,247734,145806811.2,-1
6/25/2024,595,597.7,578,594,1.54,129565,76224031.3,-1
6/26/2024,601,603,584.1,584.1,-1.67,45593,26924302.7,-1
6/27/2024,584.1,589,580.1,580.1,-0.68,49908,29102586.6,-1
6/30/2024,570,582,566,582,0.33,108346,61912463.9,1
7/1/2024,575,582,573,575,-1.2,71132,40983389.8,0
7/2/2024,586.5,610,580.1,585.1,1.76,78008,46082933,-1
